id_measurement,id_rp,id_sensor,temperature,measured_date,humidity,save_date
340,1,1,26,2021-04-24 18:13:03.312239+02,35,2021-04-26 09:39:40.458646
342,1,1,26,2021-04-24 18:23:03.512415+02,35,2021-04-26 09:39:40.729622
344,1,1,28,2021-04-24 18:33:03.712791+02,33,2021-04-26 09:39:41.038238
346,1,1,27,2021-04-24 18:43:03.912912+02,34,2021-04-26 09:39:41.320575
348,1,1,27,2021-04-24 18:53:04.113156+02,34,2021-04-26 09:39:41.700189
350,1,1,27,2021-04-24 19:03:04.321864+02,34,2021-04-26 09:39:41.975135
352,1,1,27,2021-04-24 19:13:04.513878+02,34,2021-04-26 09:39:42.266682
354,1,1,28,2021-04-24 19:23:04.632167+02,33,2021-04-26 09:39:42.581429
356,1,1,27,2021-04-24 19:33:04.77198+02,34,2021-04-26 09:39:42.881036
358,1,1,28,2021-04-24 19:43:04.971975+02,33,2021-04-26 09:39:43.165659
360,1,1,28,2021-04-24 19:53:05.169786+02,32,2021-04-26 09:39:43.490365
362,1,1,28,2021-04-24 20:03:05.36662+02,33,2021-04-26 09:39:43.821336
364,1,1,28,2021-04-24 20:13:05.566826+02,33,2021-04-26 09:39:44.145858
366,1,1,28,2021-04-24 20:23:05.767087+02,33,2021-04-26 09:39:44.446634
368,1,1,28,2021-04-24 20:33:05.967487+02,33,2021-04-26 09:39:44.71475
370,1,1,28,2021-04-24 20:43:06.111961+02,33,2021-04-26 09:39:45.022521
372,1,1,28,2021-04-24 20:53:06.292084+02,33,2021-04-26 09:39:45.311306
374,1,1,29,2021-04-24 21:03:06.455519+02,33,2021-04-26 09:39:45.619381
376,1,1,29,2021-04-24 21:13:06.655779+02,32,2021-04-26 09:39:45.908748
378,1,1,29,2021-04-24 21:23:06.824255+02,32,2021-04-26 09:39:46.201542
380,1,1,29,2021-04-24 21:33:07.024598+02,32,2021-04-26 09:39:46.485845
382,1,1,30,2021-04-24 21:43:07.182485+02,31,2021-04-26 09:39:46.781566
384,1,1,30,2021-04-24 21:53:07.382724+02,31,2021-04-26 09:39:47.081362
386,1,1,30,2021-04-24 22:03:07.582875+02,30,2021-04-26 09:39:47.36214
388,1,1,30,2021-04-24 22:13:07.783111+02,31,2021-04-26 09:39:47.750051
